Reviewing the plan and codebase for the signal-lifecycle audit.
schema_version	scope	severity	focus_area	location	what	scenario_or_breakage	suggested_fix
11	in_scope	latent	correctness	plan.txt:88	`LARCH_BM_TEST_TIMEOUT_SECONDS` is documented test-only but not scoped in the plan’s hook	Production monitor invocations could shorten the 1800s timeout if the env var leaks from a polluted environment	Consume the override only when `[[ -n "${LARCH_BM_TEST_TIMEOUT_SECONDS:-}" ]]` and an explicit companion flag is set in test harnesses, or unset the var in test setup/teardown

**1. [correctness]** `plan.txt:88-89` — Proposed KILL-escalation test uses `trap '' TERM; sleep 1860 &` in the harness parent. Bash traps are not inherited by background children, so `sleep` still dies on SIGTERM and the SIGKILL path is never exercised. Revise test (b) to launch a TERM-ignoring child (e.g. `bash -c 'trap "" TERM; while sleep 1; do :; done' &`) and assert ~5s grace before the process disappears.

**2. [correctness]** `plan.txt:10` — 32-byte PID read mechanism is unspecified. Specify `head -c 32` (or `dd`), strip trailing CR/LF/whitespace only, require `^[0-9]+$` and `(( pid > 0 ))`; avoid bare `read`, which strips IFS whitespace.

**3. [correctness]** `plan.txt:10` — Positive-integer validation must reject `0`/`000` after digit match, not only non-empty digits.

**4. [correctness]** `plan.txt:10` — Kill loop needs an explicit 5-iteration `for` with `kill -0` then `sleep 1` before SIGKILL; do not use an unbounded `while kill -0` loop.

**5. [correctness]** `plan.txt:10` / `scripts/lib-quiet.sh:131-135` — WARN fallback should use `emit_breadcrumb_stderr --category=warn` (or `larch_err`), not the non-wire `larch:bc category=warn msg=...` string.

**6. [correctness]** `plan.txt:144-145` vs `plan.txt:16` — Align CR/LF stripping between helper spec and edge cases for `\r\n` PID files.

**7. [correctness]** `plan.txt:16` — Atomic write is `.tmp.$$` + `mv -f` (like existing quiet helpers), not `mktemp`; fix plan wording accordingly.

**8. [security]** `plan.txt:10` — Re-validate paired-pid-file path (no symlink, regular file) immediately before read/kill to close TOCTOU after non-existent path passes initial validation.

**9. [integration]** `plan.txt:10` — Document that SIGTERM targets only the recorded PID; child processes may orphan.

**10. [correctness]** `plan.txt:88-89` — TERM test should assert grace-period timing or signal path, not only “process dead.”

**11. [correctness]** `plan.txt:88` — Scope `LARCH_BM_TEST_TIMEOUT_SECONDS` to harness-only or guard it so production monitors cannot inherit a shortened timeout.

**Family B `trap` audit (no finding):** Grep across denylisted scripts (`ship-pr.sh`, `ci-wait.sh`, `run-step5-review.sh`, `review-and-fix.sh`, dispatch/collect scripts) found no `trap '' TERM` / `trap - TERM`; only EXIT traps (e.g. `ci-wait.sh:171`, `collect-agent-results.sh:308`). SIGTERM should still deliver EXIT cleanup and terminate default-disposition children — it does not block the proposed grace-period poll.

**[OUT_OF_SCOPE]** `scripts/ci-wait.md:7` still says synchronous-only; the plan already lists reconciling this with Family B pairing in the `ci-wait.md` update — track only if that doc edit is dropped from the PR.
